LRU Cache:
16A4: hit=true
16A8: hit=true
16AC: hit=true
16B0: hit=true
16B4: hit=true
16B8: hit=true
16BC: hit=true
16C0: hit=false
16C4: hit=true
16C8: hit=true
16CC: hit=true
16D0: hit=true
16D4: hit=true
16D8: hit=true
16DC: hit=true
16E0: hit=true
16E4: hit=true
16E8: hit=true
16EC: hit=true
16F0: hit=true
16F4: hit=true
16F8: hit=true
16FC: hit=true
1700: hit=false
1704: hit=true
1708: hit=true
170C: hit=true
1710: hit=true
1714: hit=true
1718: hit=true
171C: hit=true
1720: hit=true
1724: hit=true
1728: hit=true
172C: hit=true
1730: hit=true
1734: hit=true
1738: hit=true
173C: hit=true
1740: hit=false
1744: hit=true
1748: hit=true
174C: hit=true
1750: hit=true
1754: hit=true
1758: hit=true
175C: hit=true
1760: hit=true
1764: hit=true
1768: hit=true
176C: hit=true
1770: hit=true
1774: hit=true
1778: hit=true
177C: hit=true
1780: hit=false
1784: hit=true
1788: hit=true
178C: hit=true
1790: hit=true
1794: hit=true
1798: hit=true
179C: hit=true
17A0: hit=true
17A4: hit=true
17A8: hit=true
17AC: hit=true
17B0: hit=true
17B4: hit=true
17B8: hit=true
17BC: hit=true
17C0: hit=false
17C4: hit=true
17C8: hit=true
17CC: hit=true
17D0: hit=true
17D4: hit=true
17D8: hit=true
17DC: hit=true
17E0: hit=true
17E4: hit=true
17E8: hit=true
17EC: hit=true
17F0: hit=true
17F4: hit=true
17F8: hit=true
17FC: hit=true
1800: hit=false
1804: hit=true
1808: hit=true
180C: hit=true
1810: hit=true
1814: hit=true
1818: hit=true
181C: hit=true
1820: hit=true
1824: hit=true
1828: hit=true
182C: hit=true
1830: hit=true
1834: hit=true
1838: hit=true
183C: hit=true
1840: hit=false
1844: hit=true
1848: hit=true
184C: hit=true
1850: hit=true
1854: hit=true
1858: hit=true
185C: hit=true
1860: hit=true
1864: hit=true
1868: hit=true
186C: hit=true
1870: hit=true
1874: hit=true
1878: hit=true
187C: hit=true
1880: hit=false
1884: hit=true
1888: hit=true
188C: hit=true
1890: hit=true
1894: hit=true
1898: hit=true
189C: hit=true
18A0: hit=true
18A4: hit=true
18A8: hit=true
18AC: hit=true
18B0: hit=true
18B4: hit=true
18B8: hit=true
18BC: hit=true
18C0: hit=false
18C4: hit=true
18C8: hit=true
18CC: hit=true
18D0: hit=true
18D4: hit=true
18D8: hit=true
18DC: hit=true
18E0: hit=true
18E4: hit=true
